OpenDSS Value (p.u.),Bus
0.0,p1ulv50805
0.0,p1ulv50864
0.0,p1ulv50417
0.0,p1ulv39495
0.0,p1ulv39299
0.0,p1ulv39267
0.0,p1ulv31695
0.0,p1ulv31753
0.0,p1ulv32329
0.0,p1ulv32768
0.0,p1umv54
0.0,p1ulv32963
0.0,p1ulv31570
0.0,p1ulv32966
0.0,p1ulv33049
0.0,p1ulv33181
0.0,p1ulv33209
0.0,p1ulv33537
0.0,p1ulv33765
0.0,p1ulv33916
0.0,p1ulv32977
0.0,p1ulv33983
0.0,p1ulv31415
0.0,p1ulv30588
0.0,p1ulv28921
0.0,p1ulv28924
0.0,p1ulv29333
0.0,p1ulv29397
0.0,p1ulv29526
0.0,p1ulv29593
0.0,p1ulv31202
0.0,p1ulv29745
0.0,p1ulv29910
0.0,p1ulv30115
0.0,p1ulv30126
0.0,p1ulv30194
0.0,p1ulv30263
0.0,p1ulv30349
0.0,p1ulv29747
0.0,p1ulv28688
0.0,p1umv59
0.0,p1ulv34746
0.0,p1ulv37610
0.0,p1ulv37806
0.0,p1ulv37945
0.0,p1ulv38019
0.0,p1ulv38167
0.0,p1ulv38235
0.0,p1ulv37152
0.0,p1ulv38317
0.0,p1ulv38711
0.0,p1ulv38777
0.0,p1ulv38778
0.0,p1ulv38841
0.0,p1ulv38920
0.0,p1ulv39136
0.0,p1ulv38547
0.0,p1ulv34744
0.0,p1ulv37150
0.0,p1ulv37002
0.0,p1ulv34837
0.0,p1ulv34840
0.0,p1ulv35166
0.0,p1ulv35257
0.0,p1ulv35386
0.0,p1ulv35389
0.0,p1ulv37084
0.0,p1ulv35474
0.0,p1ulv36304
0.0,p1ulv36366
0.0,p1ulv36524
0.0,p1ulv36726
0.0,p1ulv36794
0.0,p1ulv36875
0.0,p1ulv35609
0.0,udm43271
0.0,udm43270
0.0,udm43267
0.0,udt11077-udt18617xx
0.0,udt12697-udt5141xxx
0.0,udt12697-udt5141xx
0.0,udt5140-udt5141x
0.0,udt5140-udt5141xx
0.0,udt12847-udt14203x
0.0,udt14203-udt5157x
0.0,udt10841-udt12899x
0.0,udm53182
0.0,udm53181
0.0,udm51498
0.0,udm51500
0.0,udm51499
0.0,udm46754
0.0,udm46752
0.0,udm46684
0.0,udm46683
0.0,udm38663
0.0,udm38662
0.0,udm39258
0.0,udm40783
0.0,udm41034
0.0,udm41035
0.0,udt11077-udt18617xxx
0.0,udm42178
