Loading (p.u.),Name,Bus1,Bus2
2.5844551795961928,Line.l(r:p1ulv13364-udt6154lv),udt6154lv.1.2,p1ulv13364.1.2
2.584582302447836,Line.l(r:p1ulv48287-udt5387lv),udt5387lv.1.2,p1ulv48287.1.2
2.58468965987704,Line.l(r:p1ulv33797-udt13968lv),udt13968lv.1.2,p1ulv33797.1.2
2.584741144856403,Line.l(r:p1ulv24228-udt10443lv),udt10443lv.1.2,p1ulv24228.1.2
2.5852925503143824,Line.l(r:p1ulv12260-udt5472lv),udt5472lv.1.2,p1ulv12260.1.2
2.588918386939735,Line.l(r:udm19272-udt5126lv),udt5126lv.1.2,udm19272.1.2
2.588918411350021,Line.l(r:p1ulv37478-udm19272),udm19272.1.2,p1ulv37478.1.2
2.591260848584062,Line.l(r:udm35784-udt10450lv),udt10450lv.1.2,udm35784.1.2
2.5912609109124496,Line.l(r:p1ulv48979-udm35784),udm35784.1.2,p1ulv48979.1.2
2.5956281232489675,Line.l(r:p1ulv29115-udt12460lv),udt12460lv.1.2,p1ulv29115.1.2
2.5994047270919673,Line.l(r:udm38286-udt11328lv),udt11328lv.1.2,udm38286.1.2
2.5994050027369524,Line.l(r:p1ulv34463-udm38286),udm38286.1.2,p1ulv34463.1.2
2.6064244837218866,Line.l(r:p1ulv28304-udt12107lv),udt12107lv.1.2,p1ulv28304.1.2
2.607407560814976,Line.l(r:udm40600-udt12127lv),udt12127lv.1.2,udm40600.1.2
2.6074076520906466,Line.l(r:p1ulv28348-udm40600),udm40600.1.2,p1ulv28348.1.2
2.607659690796552,Line.l(r:udm36196-udt10569lv),udt10569lv.1.2,udm36196.1.2
2.6087614207192202,Line.l(r:p1ulv40872-udt16079lv),udt16079lv.1.2,p1ulv40872.1.2
2.609959479792495,Line.l(r:p1ulv44559-udt17395lv),udt17395lv.1.2,p1ulv44559.1.2
2.6103392962862793,Line.l(r:p1ulv49091-udt18649lv),udt18649lv.1.2,p1ulv49091.1.2
2.6113180338991415,Line.l(r:p1ulv26910-udt11413lv),udt11413lv.1.2,p1ulv26910.1.2
2.6118651308817182,Line.l(r:p1ulv34808-udt14228lv),udt14228lv.1.2,p1ulv34808.1.2
2.612597171456097,Line.l(r:p1ulv41912-udt16530lv),udt16530lv.1.2,p1ulv41912.1.2
2.6127838318887164,Line.l(r:p1ulv31594-udt13315lv),udt13315lv.1.2,p1ulv31594.1.2
2.6131814230991792,Line.l(r:udm48797-udt15855lv),udt15855lv.1.2,udm48797.1.2
2.6140732853907322,Line.l(r:p1ulv1949-udt1058lv),udt1058lv.1.2,p1ulv1949.1.2
2.614354419662668,Line.l(r:p1ulv41233-udt16163lv),udt16163lv.1.2,p1ulv41233.1.2
2.6167093188424877,Line.l(r:udm41359-udt12409lv),udt12409lv.1.2,udm41359.1.2
2.6173705337414246,Line.l(r:p1ulv15774-udm6609),udm6609.1.2,p1ulv15774.1.2
2.6176719572958564,Line.l(r:udm16389-udt4282lv),udt4282lv.1.2,udm16389.1.2
2.618197151980928,Line.l(r:udm20298-udm20305),udm20305.1.2,udm20298.1.2
2.6181973496419317,Line.l(r:p1ulv11913-udm20298),udm20298.1.2,p1ulv11913.1.2
2.6183014445149806,Line.l(r:udm21307-udt5643lv),udt5643lv.1.2,udm21307.1.2
2.6192158969497688,Line.l(r:udm47614-udt15551lv),udt15551lv.1.2,udm47614.1.2
2.619216050878375,Line.l(r:p1ulv39857-udm47614),udm47614.1.2,p1ulv39857.1.2
2.619820592909744,Line.l(r:udm5969-udt1466lv),udt1466lv.1.2,udm5969.1.2
2.6198206868304106,Line.l(r:p1ulv3211-udm5969),udm5969.1.2,p1ulv3211.1.2
2.6198540433919484,Line.l(r:p1ulv16360-udt7875lv),udt7875lv.1.2,p1ulv16360.1.2
2.6200647582297805,Line.l(r:udm31748-udt8945lv),udt8945lv.1.2,udm31748.1.2
2.620064952874315,Line.l(r:p1ulv32502-udm31748),udm31748.1.2,p1ulv32502.1.2
2.6216149336313945,Line.l(r:p1ulv13425-udt6199lv),udt6199lv.1.2,p1ulv13425.1.2
2.6220465385241467,Line.l(r:p1ulv26841-udt11372lv),udt11372lv.1.2,p1ulv26841.1.2
2.6229549882651746,Line.l(r:p1ulv27147-udt11561lv),udt11561lv.1.2,p1ulv27147.1.2
2.6235088613535487,Line.l(r:p1ulv49303-udt18688lv),udt18688lv.1.2,p1ulv49303.1.2
2.623586924918564,Line.l(r:p1ulv20153-udt9381lv),udt9381lv.1.2,p1ulv20153.1.2
2.625802976928627,Line.l(r:udm25128-udt6739lv),udt6739lv.1.2,udm25128.1.2
2.6258029874422406,Line.l(r:p1ulv14205-udm25128),udm25128.1.2,p1ulv14205.1.2
2.626573298332831,Line.l(r:p1ulv25008-udt10656lv),udt10656lv.1.2,p1ulv25008.1.2
2.6271546474997782,Line.l(r:p1ulv40511-udt15988lv),udt15988lv.1.2,p1ulv40511.1.2
2.628476078210543,Line.l(r:udm12981-udt3299lv),udt3299lv.1.2,udm12981.1.2
2.628476254700655,Line.l(r:p1ulv32314-udm12981),udm12981.1.2,p1ulv32314.1.2
2.6291610133694636,Line.l(r:p1ulv52931-udt19511lv),udt19511lv.1.2,p1ulv52931.1.2
2.6293154149645313,Line.l(r:udm25129-udt6739lv),udt6739lv.1.2,udm25129.1.2
2.6293155835203343,Line.l(r:p1ulv14889-udm25129),udm25129.1.2,p1ulv14889.1.2
2.6324268185638307,Line.l(r:udm46527-udt15182lv),udt15182lv.1.2,udm46527.1.2
2.6324269278648305,Line.l(r:p1ulv38935-udm46527),udm46527.1.2,p1ulv38935.1.2
2.6332334260266586,Line.l(r:p1ulv12639-udt5624lv),udt5624lv.1.2,p1ulv12639.1.2
