Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.2302079228472742,Transformer.tr(r:udt7055-udt7055lv),udt7055.3,50.0,1
1.2304911291733873,Transformer.tr(r:udt13604-udt13604lv),udt13604,150.0,3
1.2305441435206355,Transformer.tr(r:udt52-udt52lv),udt52,100.0,3
1.2333286475139298,Transformer.tr(r:udt9577-udt9577lv),udt9577,150.0,3
1.2361838224819528,Transformer.tr(r:udt15929-udt15929lv),udt15929.1,50.0,1
1.2377978159576113,Transformer.tr(r:udt2310-udt2310lv),udt2310.1,75.0,1
1.2382629565615328,Transformer.tr(r:udt18875-udt18875lv),udt18875.3,50.0,1
1.2399193417543712,Transformer.tr(r:udt19275-udt19275lv),udt19275.2,50.0,1
1.2426809219985435,Transformer.tr(r:udt9817-udt9817lv),udt9817,150.0,3
1.2448954092005007,Transformer.tr(r:udt20323-udt20323lv),udt20323.2,50.0,1
1.245690934295996,Transformer.tr(r:udt13266-udt13266lv),udt13266.3,50.0,1
1.2468664402641736,Transformer.tr(r:udt8486-udt8486lv),udt8486.3,50.0,1
1.2496506108119123,Transformer.tr(r:udt4909-udt4909lv),udt4909,100.0,3
1.2525391207077265,Transformer.tr(r:udt3091-udt3091lv),udt3091,150.0,3
1.2536969940659832,Transformer.tr(r:udt8610-udt8610lv),udt8610.2,50.0,1
1.2586095884902464,Transformer.tr(r:udt11952-udt11952lv),udt11952.3,50.0,1
1.2601814124883803,Transformer.tr(r:udt18009-udt18009lv),udt18009.2,50.0,1
1.262067745392425,Transformer.tr(r:udt1087-udt1087lv),udt1087.1,50.0,1
1.262569491641903,Transformer.tr(r:udt9565-udt9565lv),udt9565.2,50.0,1
1.265236386462379,Transformer.tr(r:udt15834-udt15834lv),udt15834.1,50.0,1
1.267790360553131,Transformer.tr(r:udt5641-udt5641lv),udt5641.1,50.0,1
1.2686151697376926,Transformer.tr(r:udt3297-udt3297lv),udt3297.2,50.0,1
1.269518403579306,Transformer.tr(r:udt4529-udt4529lv),udt4529.1,50.0,1
1.2700216174027106,Transformer.tr(r:udt66-udt66lv),udt66.1,50.0,1
1.2748771102353884,Transformer.tr(r:udt14975-udt14975lv),udt14975.3,50.0,1
1.2790159803329815,Transformer.tr(r:udt965-udt965lv),udt965.3,50.0,1
1.281143021951771,Transformer.tr(r:udt13381-udt13381lv),udt13381.1,50.0,1
1.2822445746697948,Transformer.tr(r:udt15070-udt15070lv),udt15070.2,50.0,1
1.2835464471733053,Transformer.tr(r:udt9740-udt9740lv),udt9740.1,50.0,1
1.2905916943333717,Transformer.tr(r:udt8003-udt8003lv),udt8003.1,50.0,1
1.2907100760192198,Transformer.tr(r:udt12428-udt12428lv),udt12428.1,50.0,1
1.2909609735659997,Transformer.tr(r:udt5977-udt5977lv),udt5977.1,50.0,1
1.2916705752760331,Transformer.tr(r:udt19555-udt19555lv),udt19555.1,50.0,1
1.292122997212852,Transformer.tr(r:udt15379-udt15379lv),udt15379.1,50.0,1
1.2921496930484102,Transformer.tr(r:udt14511-udt14511lv),udt14511.1,50.0,1
1.2934596725419754,Transformer.tr(r:udt17063-udt17063lv),udt17063.1,50.0,1
1.2934817120787057,Transformer.tr(r:udt10513-udt10513lv),udt10513.2,50.0,1
1.2969056345847376,Transformer.tr(r:udt20247-udt20247lv),udt20247,150.0,3
1.29787529799811,Transformer.tr(r:udt20540-udt20540lv),udt20540,150.0,3
1.2988356570823887,Transformer.tr(r:udt13436-udt13436lv),udt13436,150.0,3
1.2989304653593396,Transformer.tr(r:udt9576-udt9576lv),udt9576,150.0,3
1.2992106551301728,Transformer.tr(r:udt2384-udt2384lv),udt2384,150.0,3
1.3002926421616428,Transformer.tr(r:udt8966-udt8966lv),udt8966.3,50.0,1
1.301057295947741,Transformer.tr(r:udt13880-udt13880lv),udt13880.3,50.0,1
1.301116915643672,Transformer.tr(r:udt15263-udt15263lv),udt15263.3,50.0,1
1.3012448391104816,Transformer.tr(r:udt20277-udt20277lv),udt20277.2,50.0,1
1.3021981149827395,Transformer.tr(r:udt20470-udt20470lv),udt20470.3,50.0,1
1.3028001407701135,Transformer.tr(r:udt18105-udt18105lv),udt18105.3,50.0,1
1.303168968891049,Transformer.tr(r:udt15185-udt15185lv),udt15185.3,50.0,1
1.30473277190713,Transformer.tr(r:udt16817-udt16817lv),udt16817.1,50.0,1
1.3049643949937457,Transformer.tr(r:udt12648-udt12648lv),udt12648.2,50.0,1
1.306263207282387,Transformer.tr(r:udt10418-udt10418lv),udt10418,150.0,3
1.3074338640814995,Transformer.tr(r:udt20860-udt20860lv),udt20860.2,50.0,1
1.3076855118744248,Transformer.tr(r:udt12181-udt12181lv),udt12181.2,50.0,1
1.3081550442300796,Transformer.tr(r:udt13748-udt13748lv),udt13748.3,50.0,1
1.3092449569807427,Transformer.tr(r:udt3672-udt3672lv),udt3672.1,50.0,1
1.3093908970350987,Transformer.tr(r:udt16114-udt16114lv),udt16114.2,50.0,1
1.3107951954461505,Transformer.tr(r:udt12710-udt12710lv),udt12710.3,50.0,1
1.31218986947187,Transformer.tr(r:udt2512-udt2512lv),udt2512.3,50.0,1
1.312284633336037,Transformer.tr(r:udt3068-udt3068lv),udt3068.2,75.0,1
1.3140370609126475,Transformer.tr(r:udt9722-udt9722lv),udt9722.3,50.0,1
1.3143459342874684,Transformer.tr(r:udt10565-udt10565lv),udt10565,150.0,3
1.3146314543432887,Transformer.tr(r:udt19296-udt19296lv),udt19296.3,50.0,1
1.315042266584082,Transformer.tr(r:udt4886-udt4886lv),udt4886.2,50.0,1
1.3151623227359908,Transformer.tr(r:udt17238-udt17238lv),udt17238,150.0,3
1.3174372637164586,Transformer.tr(r:udt17116-udt17116lv),udt17116.3,50.0,1
1.3181805525898773,Transformer.tr(r:udt270-udt270lv),udt270.3,50.0,1
1.3189705499809874,Transformer.tr(r:udt19407-udt19407lv),udt19407.1,50.0,1
1.319212896188706,Transformer.tr(r:udt16142-udt16142lv),udt16142.1,50.0,1
1.3200075526698367,Transformer.tr(r:udt11390-udt11390lv),udt11390.2,50.0,1
1.3213838592486908,Transformer.tr(r:udt14633-udt14633lv),udt14633.3,50.0,1
1.3214205581472955,Transformer.tr(r:udt11887-udt11887lv),udt11887,150.0,3
1.3219527547505217,Transformer.tr(r:udt20421-udt20421lv),udt20421,150.0,3
1.3241838836563913,Transformer.tr(r:udt20791-udt20791lv),udt20791.1,50.0,1
1.3242455775027129,Transformer.tr(r:udt15371-udt15371lv),udt15371.3,50.0,1
1.3245569759385336,Transformer.tr(r:udt2483-udt2483lv),udt2483.1,50.0,1
1.3247089796614104,Transformer.tr(r:udt14254-udt14254lv),udt14254,150.0,3
1.3253126169848253,Transformer.tr(r:udt12995-udt12995lv),udt12995.2,50.0,1
1.3254444188147845,Transformer.tr(r:udt4343-udt4343lv),udt4343,150.0,3
1.3254586617860817,Transformer.tr(r:udt2246-udt2246lv),udt2246,150.0,3
1.325505264450787,Transformer.tr(r:udt18822-udt18822lv),udt18822,150.0,3
1.325824060803194,Transformer.tr(r:udt16747-udt16747lv),udt16747.2,50.0,1
1.326121040437966,Transformer.tr(r:udt13559-udt13559lv),udt13559.2,50.0,1
1.3261310585457784,Transformer.tr(r:udt10800-udt10800lv),udt10800.1,50.0,1
1.326323091256075,Transformer.tr(r:udt17667-udt17667lv),udt17667.2,50.0,1
1.3264326353367093,Transformer.tr(r:udt20711-udt20711lv),udt20711,150.0,3
