Loading (p.u.),Name,Bus1,Bus2
2.6790802449955935,Line.l(r:p1ulv56661-udm57661),udm57661.1.2,p1ulv56661.1.2
2.7367868717350157,Line.l(r:p1ulv46280-udm48797),udm48797.1.2,p1ulv46280.1.2
2.7417768082072396,Line.l(r:udm2131-udm2135),udm2135.1.2,udm2131.1.2
2.749858270602308,Line.l(r:udm51393-udt16644lv),udt16644lv.1.2,udm51393.1.2
2.899582247120444,Line.l(r:p1ulv58414-udm51393),udm51393.1.2,p1ulv58414.1.2
2.9003715774772476,Line.l(r:udm51391-udt16644lv),udt16644lv.1.2,udm51391.1.2
2.9432877636721053,Line.l(r:p1ulv60598-udm58715),udm58715.1.2,p1ulv60598.1.2
2.9606467428158765,Line.l(r:udm48685-udm48686),udm48686.1.2,udm48685.1.2
2.9930772913233548,Line.l(r:p1ulv59933-udt20022lv),udt20022lv.1.2,p1ulv59933.1.2
3.014211059206394,Line.l(r:udm58715-udt19963lv),udt19963lv.1.2,udm58715.1.2
3.0305347508231817,Line.l(r:udm56141-udt18735lv),udt18735lv.1.2,udm56141.1.2
3.0305349362641327,Line.l(r:p1ulv49546-udm56141),udm56141.1.2,p1ulv49546.1.2
3.049740278757222,Line.l(r:udm51389-udm51391),udm51391.1.2,udm51389.1.2
3.097111331355044,Line.l(r:p1ulv2778-udt1287lv),udt1287lv.1.2,p1ulv2778.1.2
3.0983414865519614,Line.l(r:udm54726-udt18011lv),udt18011lv.1.2,udm54726.1.2
3.098341630522219,Line.l(r:p1ulv46567-udm54726),udm54726.1.2,p1ulv46567.1.2
3.236244555436964,Line.l(r:udm2135-udt531lv),udt531lv.1.2,udm2135.1.2
3.3752312074130835,Line.l(r:udm48686-udt15828lv),udt15828lv.1.2,udm48686.1.2
3.4167954616542455,Line.l(r:udm2155-udt533lv),udt533lv.1.2,udm2155.1.2
