year,month,day,hour,temperature,GHI
2020,1,15,22,-7.1,0
2020,1,15,23,-6.7,0
2020,1,15,24,-6.3,0
2020,1,16,1,-6.5,0
2020,1,16,2,-7.2,0
2020,1,16,3,-7.8,0
2020,1,16,4,-8.4,0
2020,1,16,5,-9.3,0
2020,1,16,6,-9.6,0
2020,1,16,7,-9.1,20
2020,1,16,8,-8.3,83
2020,1,16,9,-7.9,142
2020,1,16,10,-7.3,103
2020,1,16,11,-7.2,109
2020,1,16,12,-7.6,39
2020,1,16,13,-7.3,30
2020,1,16,14,-5.9,64
2020,1,16,15,-5.1,14
2020,1,16,16,-4.8,0
2020,1,16,17,-4.6,0
2020,1,16,18,-4.8,0
2020,1,16,19,-5.6,0
2020,1,16,20,-6.8,0
2020,1,16,21,-8.3,0
2020,1,16,22,-9.8,0
2020,1,16,23,-11.4,0
2020,1,16,24,-12.8,0
2020,1,17,1,-14.2,0
2020,1,17,2,-15.6,0
2020,1,17,3,-17.1,0
2020,1,17,4,-18.9,0
2020,1,17,5,-20.4,0
2020,1,17,6,-21.7,0
2020,1,17,7,-22.8,36
2020,1,17,8,-23.9,178
2020,1,17,9,-24.7,190
2020,1,17,10,-25.3,150
2020,1,17,11,-25.9,148
2020,1,17,12,-26.4,133
2020,1,17,13,-25.7,166
2020,1,17,14,-23.5,168
2020,1,17,15,-21.4,39
2020,1,17,16,-20.1,0
2020,1,17,17,-19.2,0
2020,1,17,18,-18.8,0
2020,1,17,19,-18.8,0
2020,1,17,20,-19.6,0
2020,1,17,21,-21.4,0
2020,1,17,22,-22.9,0
2020,1,17,23,-23.8,0
2020,1,17,24,-24.6,0
2020,1,18,1,-25.5,0
2020,1,18,2,-25.8,0
2020,1,18,3,-25.9,0
2020,1,18,4,-26.2,0
2020,1,18,5,-26.6,0
2020,1,18,6,-26.9,0
2020,1,18,7,-27.2,34
2020,1,18,8,-27.3,102
2020,1,18,9,-27.3,112
2020,1,18,10,-27.3,125
2020,1,18,11,-27.3,116
2020,1,18,12,-27,96
2020,1,18,13,-24.8,89
2020,1,18,14,-22.3,75
2020,1,18,15,-20.2,18
2020,1,18,16,-18.1,0
2020,1,18,17,-17,0
2020,1,18,18,-16.5,0
2020,1,18,19,-16.5,0
2020,1,18,20,-17.1,0
2020,1,18,21,-18.3,0
2020,1,18,22,-18.4,0
2020,1,18,23,-17.7,0
2020,1,18,24,-17.2,0
2020,1,19,1,-16.9,0
2020,1,19,2,-16.6,0
2020,1,19,3,-16.2,0
2020,1,19,4,-15.8,0
2020,1,19,5,-15.5,0
2020,1,19,6,-15.2,0
2020,1,19,7,-15,23
2020,1,19,8,-14.7,126
2020,1,19,9,-14.3,157
2020,1,19,10,-14.2,113
2020,1,19,11,-14.3,249
2020,1,19,12,-14.4,125
2020,1,19,13,-14.4,157
2020,1,19,14,-14.2,76
2020,1,19,15,-13.6,17
2020,1,19,16,-12.9,0
2020,1,19,17,-12.3,0
2020,1,19,18,-11.9,0
2020,1,19,19,-11.8,0
2020,1,19,20,-12,0
2020,1,19,21,-12.5,0
2020,1,19,22,-13.1,0
2020,1,19,23,-13.6,0
2020,1,19,24,-14.2,0
2020,1,20,1,-14.6,0
2020,1,20,2,-15.1,0
2020,1,20,3,-15.6,0
2020,1,20,4,-16.1,0
2020,1,20,5,-16.7,0
2020,1,20,6,-17.6,0
2020,1,20,7,-18.7,52
2020,1,20,8,-19.9,207
2020,1,20,9,-21.4,222
2020,1,20,10,-23.1,207
2020,1,20,11,-24.5,194
2020,1,20,12,-24.4,151
2020,1,20,13,-21.9,155
2020,1,20,14,-19.1,121
2020,1,20,15,-17.2,26
2020,1,20,16,-15.6,0
2020,1,20,17,-14.6,0
2020,1,20,18,-14.1,0
2020,1,20,19,-14.1,0
2020,1,20,20,-14.5,0
2020,1,20,21,-15.3,0
2020,1,20,22,-15.9,0
2020,1,20,23,-16.5,0
2020,1,20,24,-17.7,0
2020,1,21,1,-18.8,0
2020,1,21,2,-19.7,0
2020,1,21,3,-20.5,0
2020,1,21,4,-21.1,0
2020,1,21,5,-22.2,0
2020,1,21,6,-23.4,0
2020,1,21,7,-24.2,44
2020,1,21,8,-24.6,207
2020,1,21,9,-24.9,270
2020,1,21,10,-25.3,327
2020,1,21,11,-25.5,286
2020,1,21,12,-25.7,263
2020,1,21,13,-24.2,240
2020,1,21,14,-20.2,105
2020,1,21,15,-17.5,29
2020,1,21,16,-15.7,0
2020,1,21,17,-14.7,0
2020,1,21,18,-14.3,0
2020,1,21,19,-14.2,0
2020,1,21,20,-14.5,0
2020,1,21,21,-15.4,0
2020,1,21,22,-16,0
2020,1,21,23,-15.7,0
2020,1,21,24,-15.5,0
2020,1,22,1,-15.2,0
2020,1,22,2,-15.1,0
2020,1,22,3,-14.9,0
2020,1,22,4,-14.3,0
2020,1,22,5,-13.7,0
2020,1,22,6,-13.4,0
2020,1,22,7,-12.9,31
2020,1,22,8,-12.2,93
2020,1,22,9,-11.5,124
2020,1,22,10,-10.7,175
2020,1,22,11,-10.3,196
2020,1,22,12,-10,135
2020,1,22,13,-8.8,78
2020,1,22,14,-6.8,95
2020,1,22,15,-5.4,25
2020,1,22,16,-4.3,0
2020,1,22,17,-3.5,0
2020,1,22,18,-3,0
2020,1,22,19,-2.8,0
2020,1,22,20,-2.7,0
2020,1,22,21,-2.9,0
2020,1,22,22,-3.1,0
2020,1,22,23,-3.1,0
2020,1,22,24,-3.1,0
2020,1,23,1,-2.8,0
2020,1,23,2,-2.6,0
2020,1,23,3,-2.7,0
2020,1,23,4,-2.9,0
2020,1,23,5,-3.2,0
2020,1,23,6,-3.3,0
2020,1,23,7,-3.6,51
2020,1,23,8,-3.7,145
2020,1,23,9,-4,236
2020,1,23,10,-4.1,262
2020,1,23,11,-4.2,342
2020,1,23,12,-4.4,342
2020,1,23,13,-4.1,246
2020,1,23,14,-3.3,84
2020,1,23,15,-2.4,34
2020,1,23,16,-1.7,0
2020,1,23,17,-1.1,0
2020,1,23,18,-0.8,0
2020,1,23,19,-0.7,0
2020,1,23,20,-1.1,0
2020,1,23,21,-1.9,0
2020,1,23,22,-2.6,0
2020,1,23,23,-3.1,0
2020,1,23,24,-3.7,0
2020,1,24,1,-4.5,0
2020,1,24,2,-5.4,0
2020,1,24,3,-6.3,0
2020,1,24,4,-6.7,0
2020,1,24,5,-6.7,0
2020,1,24,6,-7,0
2020,1,24,7,-7.9,40
2020,1,24,8,-9.2,120
2020,1,24,9,-9.8,228
2020,1,24,10,-10.4,294
2020,1,24,11,-10.9,357
2020,1,24,12,-11.1,252
2020,1,24,13,-9.6,217
2020,1,24,14,-7.2,191
2020,1,24,15,-6,52
2020,1,24,16,-4.8,0
2020,1,24,17,-4,0
2020,1,24,18,-3.6,0
2020,1,24,19,-3.7,0
2020,1,24,20,-4.6,0
2020,1,24,21,-6.5,0
2020,1,24,22,-7.7,0
2020,1,24,23,-8.2,0
2020,1,24,24,-8.4,0
2020,1,25,1,-8.5,0
2020,1,25,2,-8.3,0
2020,1,25,3,-8.1,0
2020,1,25,4,-7.8,0
2020,1,25,5,-7.5,0
2020,1,25,6,-7.5,0
2020,1,25,7,-7.7,42
2020,1,25,8,-7.8,144
2020,1,25,9,-8.1,219
2020,1,25,10,-8.7,207
2020,1,25,11,-9.2,274
2020,1,25,12,-9.3,199
2020,1,25,13,-8.1,109
2020,1,25,14,-6.3,86
2020,1,25,15,-4.8,32
2020,1,25,16,-3.3,0
2020,1,25,17,-2,0
2020,1,25,18,-1.2,0
2020,1,25,19,-1,0
2020,1,25,20,-1.5,0
2020,1,25,21,-2.8,0
2020,1,25,22,-3.7,0
2020,1,25,23,-3.9,0
2020,1,25,24,-3.7,0
2020,1,26,1,-3.2,0
2020,1,26,2,-2.7,0
2020,1,26,3,-2,0
2020,1,26,4,-1.7,0
2020,1,26,5,-1.6,0
2020,1,26,6,-1.8,0
2020,1,26,7,-1.9,37
2020,1,26,8,-1.8,158
2020,1,26,9,-1.7,142
2020,1,26,10,-1.5,123
2020,1,26,11,-1.2,171
2020,1,26,12,-1,113
2020,1,26,13,-0.5,114
2020,1,26,14,0.3,50
2020,1,26,15,0.7,26
2020,1,26,16,1,0
2020,1,26,17,1.2,0
2020,1,26,18,1.2,0
2020,1,26,19,1.1,0
2020,1,26,20,0.9,0
2020,1,26,21,0.5,0
2020,1,26,22,0,0
2020,1,26,23,-0.5,0
2020,1,26,24,-0.9,0
2020,1,27,1,-1.2,0
2020,1,27,2,-1.3,0
2020,1,27,3,-1.5,0
2020,1,27,4,-1.9,0
2020,1,27,5,-2.5,0
2020,1,27,6,-3,0
2020,1,27,7,-3.3,34
2020,1,27,8,-3.5,72
2020,1,27,9,-3.8,110
2020,1,27,10,-4.5,206
2020,1,27,11,-5.6,184
2020,1,27,12,-6.3,148
2020,1,27,13,-4.8,130
2020,1,27,14,-2.3,84
2020,1,27,15,-1,25
2020,1,27,16,-0.2,0
2020,1,27,17,0.1,0
2020,1,27,18,0.2,0
2020,1,27,19,0.2,0
2020,1,27,20,-0.3,0
2020,1,27,21,-2.1,0
2020,1,27,22,-3.8,0
2020,1,27,23,-5.1,0
2020,1,27,24,-6.3,0
2020,1,28,1,-7.3,0
2020,1,28,2,-7.7,0
2020,1,28,3,-7.6,0
2020,1,28,4,-7.8,0
2020,1,28,5,-8.3,0
2020,1,28,6,-9.2,0
2020,1,28,7,-10.2,53
2020,1,28,8,-11.3,100
2020,1,28,9,-12.3,119
2020,1,28,10,-13,144
2020,1,28,11,-13.6,130
2020,1,28,12,-13.8,113
2020,1,28,13,-12.1,78
2020,1,28,14,-8.6,108
2020,1,28,15,-6.2,38
2020,1,28,16,-5.3,0
2020,1,28,17,-4.7,0
2020,1,28,18,-4.4,0
2020,1,28,19,-4.5,0
2020,1,28,20,-5.9,0
2020,1,28,21,-8.7,0
2020,1,28,22,-11.1,0
2020,1,28,23,-12.3,0
2020,1,28,24,-12.7,0
2020,1,29,1,-13,0
